       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              49.442              76.115               395.296                395.296                  0.3016
         2              49.442              76.657               395.296                395.296                  0.2016
         3              49.442              76.623               395.296                395.296                  0.0766
         4              49.442              76.610               395.296                395.296                  0.0016
         5              49.442              76.598               395.296                395.296                  0.0266
         6              49.442              76.626               395.296                395.296                  0.1766
         7              49.442              76.620               395.296                395.296                  0.1516
         8              49.442              76.655               395.296                395.296                  0.0516
         9              49.442              76.587               395.296                395.296                  0.1266
        10              49.442              76.613               395.296                395.296                  0.1016

      mean              49.442              76.570               395.296                395.296                  0.1216
       std               0.000               0.153                 0.000                  0.000                  0.0857

