       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              91.560             180.462               437.733                437.733                   2.275
         2              91.921             183.668               444.109                444.109                   1.506
         3             104.071             196.278               442.532                442.532                   1.505
         4              86.814             181.365               424.363                424.363                   2.257
         5              84.574             174.555               413.110                413.110                   2.244
         6             104.474             194.987               463.552                463.552                   1.483
         7              91.560             181.364               437.733                437.733                   2.242
         8              91.560             182.665               437.733                437.733                   2.237
         9              91.089             178.160               430.760                430.760                   2.253
        10              93.130             186.770               451.715                451.715                   1.513

      mean              93.075             184.028               438.334                438.334                   1.952
       std               6.120               6.563                13.251                 13.251                   0.367
