       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              79.417             160.235               453.800                453.800                  0.3515
         2              79.417             161.090               453.800                453.800                  0.0819
         3              79.417             160.996               453.800                453.800                  0.0321
         4              79.417             160.835               453.800                453.800                  0.0386
         5              79.417             160.756               453.800                453.800                  0.0259
         6              79.417             160.851               453.800                453.800                  0.0425
         7              79.417             161.064               453.800                453.800                  0.0729
         8              79.417             160.994               453.800                453.800                  0.0544
         9              79.417             160.941               453.800                453.800                  0.0910
        10              79.417             160.693               453.800                453.800                  0.0057

      mean              79.417             160.845               453.800                453.800                  0.0796
       std               0.000               0.238                 0.000                  0.000                  0.0940

