       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              78.303             153.225               427.912                427.912                  1.1524
         2              78.303             153.558               427.912                427.912                  0.7998
         3              78.303             153.325               427.912                427.912                  0.8005
         4              78.303             153.553               427.912                427.912                  0.8768
         5              78.303             153.433               427.912                427.912                  0.9046
         6              78.303             153.358               427.912                427.912                  0.8480
         7              78.303             153.363               427.912                427.912                  0.7988
         8              78.303             153.667               427.912                427.912                  0.8594
         9              78.303             153.635               427.912                427.912                  0.9116
        10              78.303             153.402               427.912                427.912                  0.9157

      mean              78.303             153.452               427.912                427.912                  0.8868
       std               0.000               0.137                 0.000                  0.000                  0.0987

