       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              94.158             123.677               598.259                598.259                   0.566
         2              92.235             125.082               578.802                578.802                   0.319
         3             134.098             158.728               614.745                614.745                   0.480
         4             115.837             139.101               590.457                590.457                   0.663
         5             119.109             143.310               588.526                588.526                   0.905
         6             117.512             143.708               609.302                609.302                   0.206
         7             118.787             143.707               599.467                599.467                   0.524
         8             129.669             155.527               606.943                606.943                   0.540
         9             121.860             148.213               611.420                611.420                   0.402
        10             121.715             151.316               590.865                590.865                   0.765

      mean             116.498             143.237               598.879                598.879                   0.537
       std              12.808              11.004                11.085                 11.085                   0.195
