       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              58.644              81.314               311.108                311.108                   1.627
         2              58.644              81.012               311.108                311.108                   1.648
         3              58.644              83.314               311.108                311.108                   1.635
         4              58.644              84.012               311.108                311.108                   1.641
         5              58.644              83.314               311.108                311.108                   1.629
         6              58.644              84.012               311.108                311.108                   1.652
         7              58.644              83.314               311.108                311.108                   1.638
         8              58.644              84.012               311.108                311.108                   1.644
         9              58.644              83.314               311.108                311.108                   1.631
        10              58.644              84.012               311.108                311.108                   1.647

      mean              58.644              83.163               311.108                311.108                   1.639
       std               0.000               1.050                 0.000                  0.000                   0.008

