       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              71.054             126.380               337.616                337.616                   1.520
         2              73.480             125.880               341.487                341.487                   1.565
         3              73.480             126.277               341.487                341.487                   1.584
         4              73.480             124.978               341.487                341.487                   1.547
         5              71.054             125.978               336.878                336.878                   1.596
         6              71.054             125.085               337.616                337.616                   1.566
         7              71.054             125.279               337.616                337.616                   1.578
         8              71.054             125.585               337.616                337.616                   1.523
         9              71.054             125.478               337.616                337.616                   1.549
        10              71.054             125.177               337.616                337.616                   1.558

      mean              71.782             125.610               338.703                338.703                   1.559
       std               1.112               0.473                 1.835                  1.835                   0.023
