       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              79.924             116.681               666.217                666.217                   0.522
         2              80.873             116.079               676.540                676.540                   0.621
         3              85.911             123.797               691.939                691.939                   0.759
         4              84.921             123.988               676.314                676.314                   0.598
         5              86.614             124.689               701.825                701.825                   0.539
         6              87.110             119.280               691.988                691.988                   0.515
         7              81.963             117.772               665.276                665.276                   1.054
         8              85.288             120.991               677.810                677.810                   0.694
         9              82.124             119.575               681.987                681.987                   1.766
        10              78.869             121.083               691.684                691.684                   0.474

      mean              83.360             120.393               682.158                682.158                   0.754
       std               2.810               2.915                11.374                 11.374                   0.374
