       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              82.574             128.454               270.556                270.556                   1.730
         2              82.574             125.501               270.556                270.556                   1.698
         3              82.574             126.267               270.556                270.556                   1.649
         4              82.574             129.418               270.556                270.556                   1.673
         5              82.574             125.845               270.556                270.556                   1.741
         6              82.574             132.556               270.556                270.556                   1.733
         7              82.574             129.755               270.556                270.556                   1.673
         8              82.574             128.846               270.556                270.556                   1.749
         9              82.574             127.220               270.556                270.556                   1.691
        10              82.574             129.756               270.556                270.556                   1.813

      mean              82.574             128.362               270.556                270.556                   1.715
       std               0.000               2.075                 0.000                  0.000                   0.046
