       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             104.170             153.333               833.308                833.308                   0.263
         2             104.061             152.430               820.950                820.950                   1.408
         3             101.181             152.024               797.003                797.003                   0.272
         4             105.885             154.228               835.632                835.632                   0.347
         5             103.105             156.634               810.724                810.724                   1.151
         6              99.114             147.719               807.947                807.947                   0.492
         7              96.507             140.611               762.026                762.026                   0.814
         8             106.698             162.743               823.470                823.470                   0.263
         9              99.670             147.918               832.500                832.500                   0.972
        10             105.043             155.333               813.333                813.333                   0.215

      mean             102.544             152.297               813.689                813.689                   0.620
       std               3.134               5.646                20.876                 20.876                   0.412
