       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              79.030             154.432               379.549                379.549                   1.507
         2              79.030             154.632               379.549                379.549                   1.518
         3              82.866             154.627               400.869                400.869                   1.506
         4              79.030             153.224               379.549                379.549                   1.505
         5              79.030             154.522               379.549                379.549                   1.512
         6              79.030             153.020               379.549                379.549                   1.510
         7              79.030             154.525               379.549                379.549                   1.514
         8              79.030             154.123               379.549                379.549                   1.507
         9              79.030             154.523               379.549                379.549                   1.515
        10              79.030             174.501               379.549                379.549                   1.503

      mean              79.414             156.213               381.681                381.681                   1.510
       std               1.151               6.121                 6.396                  6.396                   0.005
