       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             198.762             277.688              1072.362               1072.362                   0.210
         2             202.921             290.410              1037.456               1037.456                   1.158
         3             228.516             313.147              1055.087               1055.087                   1.453
         4             174.928             252.769               909.122                909.122                   1.469
         5             224.351             304.030              1070.091               1070.091                   1.532
         6             211.833             286.612              1030.692               1030.692                   0.888
         7             225.198             314.755              1079.684               1079.684                   0.594
         8             188.971             267.588               952.629                952.629                   0.686
         9             254.894             341.873              1130.948               1130.948                   1.342
        10             219.272             299.923              1132.317               1132.317                   1.522

      mean             212.965             294.879              1047.039               1047.039                   1.085
       std              21.553              24.389                67.015                 67.015                   0.442
