       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              82.281             156.532               394.996                394.996                   2.893
         2              76.588             150.328               395.022                395.022                   2.811
         3              76.588             150.145               395.022                395.022                   2.814
         4              76.588             149.621               395.022                395.022                   2.816
         5              74.723             150.328               380.636                380.636                   2.874
         6              74.723             150.424               380.636                380.636                   2.861
         7              74.723             150.836               380.636                380.636                   2.815
         8              74.723             149.737               380.636                380.636                   2.896
         9              74.723             149.423               380.636                380.636                   2.898
        10              74.723             151.943               380.636                380.636                   2.856

      mean              76.038             150.932               386.388                386.388                   2.853
       std               2.242               1.986                 7.045                  7.045                   0.035
