       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              85.750             195.000               554.687                554.687                  0.4130
         2              85.750             195.726               554.687                554.687                  0.2255
         3              85.750             195.769               554.687                554.687                  0.0980
         4              85.750             195.758               554.687                554.687                  0.1405
         5              85.750             195.691               554.687                554.687                  0.3530
         6              85.750             195.770               554.687                554.687                  0.1830
         7              85.750             195.899               554.687                554.687                  0.0555
         8              85.750             195.875               554.687                554.687                  0.3105
         9              85.750             195.827               554.687                554.687                  0.2680
        10              85.750             195.973               554.687                554.687                  0.0130

      mean              85.750             195.729               554.687                554.687                  0.2060
       std               0.000               0.256                 0.000                  0.000                  0.1249

