       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              81.354             139.201               383.197                383.197                   0.862
         2              81.354             139.100               383.197                383.197                   0.807
         3              81.354             141.201               383.197                383.197                   0.841
         4              81.354             142.100               383.197                383.197                   0.853
         5              81.354             141.201               383.197                383.197                   0.836
         6              81.354             142.100               383.197                383.197                   0.862
         7              81.354             141.201               383.197                383.197                   0.845
         8              81.354             142.100               383.197                383.197                   0.831
         9              81.354             141.201               383.197                383.197                   0.857
        10              81.354             142.100               383.197                383.197                   0.843

      mean              81.354             141.151               383.197                383.197                   0.844
       std               0.000               1.078                 0.000                  0.000                   0.016

