       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              83.718             115.163               277.580                277.580                   0.719
         2              83.718             115.157               277.580                277.580                   0.765
         3              83.718             115.657               277.580                277.580                   0.742
         4              83.718             115.363               277.580                277.580                   0.731
         5              83.718             115.457               277.580                277.580                   0.748
         6              83.718             115.557               277.580                277.580                   0.728
         7              83.718             115.263               277.580                277.580                   0.752
         8              83.718             115.663               277.580                277.580                   0.736
         9              83.718             115.163               277.580                277.580                   0.759
        10              83.718             115.457               277.580                277.580                   0.724

      mean              83.718             115.390               277.580                277.580                   0.740
       std               0.000               0.189                 0.000                  0.000                   0.015

