       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              60.312             102.157               418.949                418.949                   1.942
         2              60.312             103.058               418.949                418.949                   1.745
         3              60.312             102.552               418.949                418.949                   1.960
         4              60.312             102.855               418.949                418.949                   1.956
         5              60.312             103.163               418.949                418.949                   1.961
         6              60.312             102.563               418.949                418.949                   1.949
         7              60.312             103.263               418.949                418.949                   1.959
         8              60.312             102.558               421.141                421.141                   1.862
         9              60.312             102.755               421.141                421.141                   1.873
        10              60.312             102.161               421.141                421.141                   1.859

      mean              60.312             102.708               419.607                419.607                   1.907
       std               0.000               0.365                 1.004                  1.004                   0.067
