       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             125.321             167.737               592.313                592.313                   0.743
         2             114.429             160.024               577.301                577.301                   1.508
         3             114.958             163.425               573.332                573.332                   1.526
         4             116.212             159.724               570.619                570.619                   1.475
         5             114.304             158.526               560.958                560.958                   1.205
         6             116.249             161.437               588.504                588.504                   0.682
         7             112.207             155.723               561.565                561.565                   1.386
         8             115.100             162.737               557.808                557.808                   0.449
         9             118.359             162.836               570.871                570.871                   1.482
        10             115.981             158.225               601.827                601.827                   1.491

      mean             116.312             161.039               575.510                575.510                   1.195
       std               3.364               3.195                13.845                 13.845                   0.389
