       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              68.317             119.771               392.980                392.980                  1.4293
         2              68.317             119.174               392.980                392.980                  1.4286
         3              68.317             119.926               392.980                392.980                  1.2075
         4              68.317             119.615               392.980                392.980                  1.2302
         5              68.317             120.075               392.980                392.980                  1.1911
         6              68.317             119.521               392.980                392.980                  1.2070
         7              68.317             120.108               392.980                392.980                  1.3191
         8              68.317             119.354               392.980                392.980                  1.3263
         9              68.317             120.046               392.980                392.980                  1.2397
        10              68.317             119.314               392.980                392.980                  1.2337

      mean              68.317             119.690               392.980                392.980                  1.2813
       std               0.000               0.327                 0.000                  0.000                  0.0853

