       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              79.317             100.341               380.337                380.337                   0.346
         2              79.926              99.941               386.828                386.828                   0.624
         3              79.926             100.141               381.495                381.495                   1.314
         4              79.926             100.439               383.326                383.326                   1.536
         5              79.926             100.541               383.326                383.326                   0.329
         6              81.394             105.545               384.283                384.283                   0.346
         7              80.962             102.739               383.464                383.464                   0.311
         8              79.926             101.041               369.796                369.796                   0.280
         9              79.926             100.736               369.401                369.401                   1.535
        10              79.926              99.435               383.326                383.326                   0.328

      mean              80.116             101.090               380.558                380.558                   0.695
       std               0.569               1.701                 5.708                  5.708                   0.513
