       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              55.156              78.710               355.840                355.840                  0.5483
         2              55.156              81.413               355.840                355.840                  0.5850
         3              55.156              78.857               355.840                355.840                  0.2945
         4              55.156              81.639               355.840                355.840                  0.3636
         5              55.156              78.952               355.840                355.840                  0.4095
         6              55.156              81.659               355.840                355.840                  0.4056
         7              55.156              78.968               355.840                355.840                  0.2068
         8              55.156              81.534               355.840                355.840                  0.2933
         9              55.156              78.835               355.840                355.840                  0.3250
        10              55.156              81.662               355.840                355.840                  0.3420

      mean              55.156              80.223               355.840                355.840                  0.3774
       std               0.000               1.362                 0.000                  0.000                  0.1102

