       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             555.814             670.902              1644.962               1644.962                   0.779
         2             598.219             700.937              1685.553               1685.553                   1.669
         3             574.707             688.729              1625.896               1625.896                   1.631
         4             601.029             706.646              1714.665               1714.665                   2.240
         5             575.659             817.201              1651.692               1651.692                   0.240
         6             578.288             690.440              1664.881               1664.881                   1.699
         7             582.052             708.064              1696.238               1696.238                   1.674
         8             575.031             686.927              1641.041               1641.041                   1.721
         9             572.228             693.432              1683.563               1683.563                   1.516
        10             589.734             693.050              1676.228               1676.228                   2.235

      mean             580.276             705.633              1668.472               1668.472                   1.540
       std              12.618              38.544                26.262                 26.262                   0.578
