       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              67.015             123.084               353.861                353.861                   2.932
         2              67.015             122.181               353.861                353.861                   2.945
         3              67.015             121.884               353.861                353.861                   2.938
         4              67.015             122.578               353.861                353.861                   2.943
         5              67.015             123.681               353.861                353.861                   2.927
         6              67.015             121.782               353.861                353.861                   2.937
         7              67.015             121.184               353.861                353.861                   2.940
         8              67.015             122.885               353.861                353.861                   2.938
         9              67.015             122.286               353.861                353.861                   2.938
        10              67.015             122.871               353.861                353.861                   2.946

      mean              67.015             122.442               353.861                353.861                   2.938
       std               0.000               0.691                 0.000                  0.000                   0.005
