       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             146.056             216.811               917.649                917.649                   0.199
         2             132.280             193.783               857.644                857.644                   0.401
         3             143.916             207.904               935.550                935.550                   0.686
         4             147.871             217.013               966.877                966.877                   0.186
         5             144.600             204.301               905.626                905.626                   0.434
         6             133.011             194.891               922.642                922.642                   0.270
         7             152.952             219.626               927.854                927.854                   0.200
         8             150.055             211.310               937.061                937.061                   0.596
         9             139.482             200.793               885.646                885.646                   1.804
        10             148.693             217.420               848.393                848.393                   1.489

      mean             143.892             208.385               910.494                910.494                   0.627
       std               6.609               9.121                35.076                 35.076                   0.539
