       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              98.481             166.135               351.167                351.167                   2.474
         2              98.481             164.433               351.167                351.167                   2.491
         3              98.481             166.635               351.167                351.167                   2.483
         4              98.481             164.933               351.167                351.167                   2.468
         5              98.481             165.435               351.167                351.167                   2.495
         6              98.481             166.035               351.167                351.167                   2.476
         7              98.481             164.633               351.167                351.167                   2.488
         8              98.481             165.935               351.167                351.167                   2.472
         9              98.481             164.433               351.167                351.167                   2.497
        10              98.481             165.635               351.167                351.167                   2.480

      mean              98.481             165.424               351.167                351.167                   2.482
       std               0.000               0.740                 0.000                  0.000                   0.010

