       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             308.316             398.440              1119.430               1119.430                   1.155
         2             332.824             434.695              1219.143               1219.143                   0.469
         3             326.774             418.360              1212.955               1212.955                   0.388
         4             312.037             400.335              1157.361               1157.361                   1.573
         5             319.401             415.472              1189.892               1189.892                   0.483
         6             324.765             422.275              1214.406               1214.406                   1.342
         7             307.284             396.550              1130.252               1130.252                   2.145
         8             299.331             388.235              1095.685               1095.685                   2.015
         9             324.763             422.581              1204.242               1204.242                   1.638
        10             314.947             411.661              1179.779               1179.779                   0.257

      mean             317.044             410.860              1172.315               1172.315                   1.147
       std               9.915              13.768                42.026                 42.026                   0.669
