       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              79.697             173.576               468.572                468.572                   1.972
         2              79.697             175.679               468.572                468.572                   1.946
         3              79.697             175.372               468.572                468.572                   1.953
         4              79.697             176.875               468.572                468.572                   1.915
         5              79.697             174.577               468.572                468.572                   1.952
         6              80.517             171.774               469.904                469.904                   1.960
         7              80.517             176.583               469.904                469.904                   1.853
         8              80.517             173.770               469.904                469.904                   1.949
         9              80.517             173.624               469.904                469.904                   1.922
        10              80.517             172.763               469.904                469.904                   1.953

      mean              80.107             174.459               469.238                469.238                   1.938
       std               0.410               1.572                 0.666                  0.666                   0.032
