       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             146.885             209.807               744.115                744.115                   0.813
         2             149.915             218.722               728.534                728.534                   0.635
         3             129.978             191.280               652.905                652.905                   1.421
         4             152.130             209.411               736.038                736.038                   1.458
         5             135.579             196.185               694.875                694.875                   1.287
         6             151.452             214.613               710.277                710.277                   1.426
         7             158.236             225.831               768.192                768.192                   1.487
         8             153.011             221.120               745.001                745.001                   1.498
         9             142.466             200.798               737.440                737.440                   0.201
        10             159.957             221.722               717.337                717.337                   1.501

      mean             147.961             210.949               723.471                723.471                   1.173
       std               9.036              11.074                30.459                 30.459                   0.435
