       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             135.924             268.990               411.079                411.079                   1.396
         2             135.924             269.097               411.079                411.079                   1.390
         3             135.924             268.188               411.079                411.079                   1.394
         4             135.924             268.697               411.079                411.079                   1.395
         5             135.924             268.998               411.079                411.079                   1.390
         6             135.924             269.404               411.079                411.079                   1.387
         7             135.924             268.999               411.079                411.079                   1.392
         8             135.924             267.291               411.079                411.079                   1.389
         9             135.924             268.895               411.079                411.079                   1.392
        10             135.924             268.192               411.079                411.079                   1.396

      mean             135.924             268.675               411.079                411.079                   1.392
       std               0.000               0.588                 0.000                  0.000                   0.003
