       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1             176.615             330.083               497.226                497.226                   0.885
         2             176.615             330.569               497.226                497.226                   0.896
         3             176.615             332.583               497.226                497.226                   0.891
         4             176.615             333.069               497.226                497.226                   0.887
         5             176.615             332.083               497.226                497.226                   0.893
         6             176.615             333.569               497.226                497.226                   0.889
         7             176.615             332.583               497.226                497.226                   0.892
         8             176.615             333.069               497.226                497.226                   0.886
         9             176.615             332.583               497.226                497.226                   0.890
        10             176.615             333.069               497.226                497.226                   0.894

      mean             176.615             332.326               497.226                497.226                   0.890
       std               0.000               1.076                 0.000                  0.000                   0.003

