       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              57.831              86.619               302.686                302.686                   1.650
         2              57.831              86.621               302.686                302.686                   1.713
         3              57.831              86.923               302.686                302.686                   1.724
         4              57.831              85.921               302.686                302.686                   1.537
         5              57.831              86.619               302.686                302.686                   1.711
         6              57.831              86.621               302.686                302.686                   1.727
         7              57.831              87.323               302.686                302.686                   1.698
         8              57.831              87.221               302.686                302.686                   1.711
         9              57.831              86.217               302.686                302.686                   1.735
        10              57.831              85.719               302.686                302.686                   1.717

      mean              57.831              86.580               302.686                302.686                   1.692
       std               0.000               0.489                 0.000                  0.000                   0.056
