       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              94.746             168.658               491.731                491.731                  1.3407
         2              94.746             169.048               491.731                491.731                  1.2595
         3              94.746             169.001               491.731                491.731                  1.2507
         4              94.746             168.989               491.731                491.731                  1.3120
         5              94.746             169.033               491.731                491.731                  1.3207
         6              94.746             168.980               491.731                491.731                  1.2857
         7              94.746             168.855               491.731                491.731                  1.3032
         8              94.746             168.868               491.731                491.731                  1.2945
         9              94.746             169.016               491.731                491.731                  1.2682
        10              94.746             169.106               491.731                491.731                  1.2770

      mean              94.746             168.955               491.731                491.731                  1.2912
       std               0.000               0.123                 0.000                  0.000                  0.0270

