       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              78.778              95.538               416.482                416.482                   0.881
         2              78.778              94.633               416.482                416.482                   0.311
         3              78.778              95.538               416.482                416.482                   0.968
         4              78.778              95.539               416.482                416.482                   0.948
         5              78.778              95.236               416.482                416.482                   0.310
         6              78.778              95.250               416.482                416.482                   0.289
         7              78.778              95.535               416.482                416.482                   0.801
         8              78.778              96.140               416.482                416.482                   0.303
         9              78.778              95.437               416.482                416.482                   0.323
        10              78.778              95.143               416.482                416.482                   0.795

      mean              78.778              95.399               416.482                416.482                   0.593
       std               0.000               0.364                 0.000                  0.000                   0.290
