       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              50.274              76.912               387.595                387.595                   1.254
         2              50.274              75.711               387.595                387.595                   1.209
         3              50.274              76.011               387.595                387.595                   1.228
         4              50.274              77.211               387.595                387.595                   1.201
         5              50.274              76.612               387.595                387.595                   1.185
         6              50.274              77.215               387.595                387.595                   1.196
         7              50.274              76.208               387.595                387.595                   1.211
         8              50.274              76.609               387.595                387.595                   2.168
         9              50.274              76.608               387.595                387.595                   2.163
        10              50.274              77.314               387.595                387.595                   2.151

      mean              50.274              76.641               387.595                387.595                   1.497
       std               0.000               0.513                 0.000                  0.000                   0.435
