       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             110.569             212.219               408.159                408.159                 1.862
         2             110.569             210.806               408.159                408.159                 1.870
         3             110.569             211.301               408.159                408.159                 1.824
         4             110.569             211.195               408.159                408.159                 1.866
         5             110.569             211.700               408.159                408.159                 1.830
         6             110.569             211.595               408.159                408.159                 1.819
         7             110.569             211.602               408.159                408.159                 1.787
         8             110.569             212.098               408.159                408.159                 1.814
         9             110.569             211.702               408.159                408.159                 1.867
        10             110.569             211.698               408.159                408.159                 1.855

      mean             110.569             211.592               408.159                408.159                 1.839
       std               0.000               0.393                 0.000                  0.000                 0.027
