       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             192.029             256.656               677.667                677.667                   1.045
         2             176.700             241.733               648.538                648.538                   0.488
         3             206.848             264.155               695.606                695.606                   1.260
         4             195.966             258.853               677.668                677.668                   0.399
         5             178.877             240.633               660.421                660.421                   0.966
         6             189.255             256.159               677.479                677.479                   1.998
         7             193.629             262.366               698.584                698.584                   0.579
         8             177.721             239.730               618.304                618.304                   1.348
         9             182.190             244.337               651.836                651.836                   0.462
        10             205.670             270.868               710.929                710.929                   1.660

      mean             189.888             253.549               671.703                671.703                   1.021
       std              10.465              10.569                26.167                 26.167                   0.520
