       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              86.866             181.365               409.645                409.645                  2.2482
         2              86.866             181.365               409.645                409.645                  2.2649
         3              86.866             181.612               409.645                409.645                  1.9582
         4              86.866             181.536               409.645                409.645                  1.6210
         5              86.866             181.466               409.645                409.645                  1.5509
         6              86.866             181.640               409.645                409.645                  1.9693
         7              86.866             181.641               409.645                409.645                  1.6041
         8              86.866             181.560               409.645                409.645                  2.0794
         9              86.866             181.503               409.645                409.645                  2.0076
        10              86.866             181.589               409.645                409.645                  1.7274

      mean              86.866             181.528               409.645                409.645                  1.9031
       std               0.000               0.097                 0.000                  0.000                  0.2497

