       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              84.000             153.317               402.275                402.275                  0.8094
         2              84.000             153.918               402.275                402.275                  0.7986
         3              84.000             153.486               402.275                402.275                  0.8202
         4              84.000             154.669               402.275                402.275                  0.8181
         5              84.000             153.868               402.275                402.275                  0.7919
         6              84.000             154.468               402.275                402.275                  0.8062
         7              84.000             153.760               402.275                402.275                  0.7916
         8              84.000             154.837               402.275                402.275                  0.7875
         9              84.000             154.255               402.275                402.275                  0.7900
        10              84.000             154.873               402.275                402.275                  0.7882

      mean              84.000             154.145               402.275                402.275                  0.8002
       std               0.000               0.529                 0.000                  0.000                  0.0118

