       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              70.935              98.850               596.383                596.383                   0.481
         2              75.514             102.954               598.646                598.646                   0.501
         3              70.893              99.354               598.462                598.462                   0.476
         4              69.086              95.945               587.099                587.099                   0.487
         5              68.543              96.544               586.108                586.108                   0.461
         6              72.002             100.750               589.434                589.434                   0.367
         7              75.558             103.455               592.443                592.443                   0.458
         8              69.086              96.049               581.272                581.272                   0.506
         9              72.327             101.708               598.845                598.845                   0.966
        10              71.516             100.550               578.722                578.722                   0.280

      mean              71.546              99.616               590.741                590.741                   0.498
       std               2.336               2.621                 7.022                  7.022                   0.170
