       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              63.537             104.859               393.271                393.271                   1.958
         2              63.537             104.752               393.271                393.271                   1.959
         3              63.537             104.361               393.271                393.271                   1.954
         4              63.537             104.553               393.271                393.271                   1.954
         5              63.537             104.956               393.271                393.271                   1.947
         6              63.537             105.361               393.271                393.271                   1.962
         7              63.537             104.557               393.271                393.271                   1.865
         8              63.537             105.658               393.271                393.271                   1.882
         9              63.537             104.555               393.271                393.271                   1.972
        10              63.537             104.251               393.271                393.271                   1.953

      mean              63.537             104.786               393.271                393.271                   1.941
       std               0.000               0.419                 0.000                  0.000                   0.034
