       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1              67.349             117.884               424.777                424.777                  0.8173
         2              67.349             118.667               424.777                424.777                  0.7173
         3              67.349             118.313               424.777                424.777                  0.7098
         4              67.349             118.696               424.777                424.777                  0.6723
         5              67.349             118.488               424.777                424.777                  0.6573
         6              67.349             118.744               424.777                424.777                  0.7023
         7              67.349             118.216               424.777                424.777                  0.6798
         8              67.349             118.722               424.777                424.777                  0.6873
         9              67.349             118.560               424.777                424.777                  0.6648
        10              67.349             118.381               424.777                424.777                  0.6948

      mean              67.349             118.467               424.777                424.777                  0.7003
       std               0.000               0.260                 0.000                  0.000                  0.0431

