       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             113.424             145.898               364.511                364.511                   1.613
         2             117.151             148.806               382.441                382.441                   1.682
         3             109.631             143.796               369.433                369.433                   1.502
         4             104.649             136.681               340.412                340.412                   0.492
         5             114.623             144.494               382.536                382.536                   1.727
         6             105.812             141.493               338.104                338.104                   1.777
         7             101.644             130.077               341.767                341.767                   0.942
         8             112.831             146.694               373.111                373.111                   1.653
         9             121.581             156.009               380.329                380.329                   0.977
        10             108.768             141.693               363.442                363.442                   1.549

      mean             111.011             143.564               363.609                363.609                   1.391
       std               5.777               6.600                16.683                 16.683                   0.410
