       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              98.285             164.032               350.794                350.794                   2.496
         2              98.285             164.033               350.794                350.794                   2.472
         3              98.285             164.031               350.794                350.794                   2.479
         4              98.285             163.327               350.794                350.794                   2.462
         5              98.285             164.433               350.794                350.794                   2.476
         6              98.285             164.332               350.794                350.794                   2.443
         7              98.285             165.833               350.794                350.794                   2.469
         8              98.285             164.429               350.794                350.794                   2.497
         9              98.285             164.433               350.794                350.794                   2.483
        10              98.285             164.629               350.794                350.794                   2.482

      mean              98.285             164.351               350.794                350.794                   2.476
       std               0.000               0.604                 0.000                  0.000                   0.015
