       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              65.231              82.823               515.159                515.159                   1.147
         2              65.231              82.130               515.159                515.159                   1.158
         3              65.231              82.125               515.159                515.159                   0.655
         4              65.231              82.830               515.159                515.159                   1.133
         5              65.231              81.732               515.159                515.159                   1.151
         6              65.231             136.483               515.159                515.159                   0.433
         7              65.231              82.118               515.159                515.159                   1.153
         8              65.231              81.617               515.159                515.159                   1.143
         9              65.231              81.516               515.159                515.159                   0.597
        10              65.231              82.018               515.159                515.159                   1.160

      mean              65.231              87.539               515.159                515.159                   0.973
       std               0.000              17.203                 0.000                  0.000                   0.289
