       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              53.569              77.109               349.888                349.888                   1.699
         2              53.569              76.806               349.888                349.888                   1.711
         3              53.569              76.812               349.888                349.888                   1.709
         4              53.569              77.112               349.888                349.888                   1.697
         5              53.569              77.312               349.888                349.888                   1.708
         6              53.569              77.813               349.888                349.888                   1.713
         7              53.569              76.310               349.888                349.888                   1.901
         8              53.569              77.009               349.888                349.888                   1.708
         9              53.569              76.608               349.888                349.888                   1.732
        10              53.569              77.216               349.888                349.888                   1.716

      mean              53.569              77.011               349.888                349.888                   1.729
       std               0.000               0.391                 0.000                  0.000                   0.058
