x 	y	z
-2.21	-24.46	39.39
5.49	-20.21	39.98
-17.34	7.43	39.12
7.09	-19.59	39.56
-16.94	10.81	38.22
7.01	-19.58	37.56
-11.36	5.81	39.07
7.02	3.15	35.37
-11.33	5.76	38.07
16.86	3.33	37.60
-5.90	14.86	37.91
21.81	8.61	39.49
-3.36	18.96	37.82
20.18	19.94	37.27
-3.86	19.36	38.66
21.61	23.24	36.34
-1.09	22.78	39.71
21.18	19.99	39.27
-2.81	22.96	39.60
17.99	19.47	39.26
-15.00	-14.40	38.20
23.15	-8.76	39.30
-4.29	23.69	39.59
25.25	-6.70	36.93
-14.09	-14.90	39.21
26.74	-5.59	36.63
-17.59	24.90	39.98
29.13	-4.57	38.35
-16.92	25.16	39.97
29.16	-4.59	39.35
-11.61	20.71	39.71
-5.70	14.81	39.91
3.09	7.89	39.47
-16.62	25.13	39.97
3.04	7.86	37.47
-9.54	-27.34	38.54
1.11	5.90	38.74
0.90	6.41	37.09
-9.69	-27.41	39.54
1.13	5.80	36.74
0.11	6.39	35.09
-12.99	-28.99	36.05
28.96	-6.69	39.46
-2.19	-24.60	37.39
26.22	-15.32	37.83
-2.29	-24.66	39.39
25.39	-15.47	39.30
-0.09	-23.96	39.78
26.26	-16.32	39.83
-17.58	24.80	35.98
25.41	-16.47	39.31
-0.39	15.29	37.47
23.19	-16.89	38.61
-0.33	15.23	35.47
25.29	-6.91	39.93
-18.25	22.16	36.87
26.76	-5.61	39.63
-19.34	28.91	39.14
29.32	14.32	36.22
-19.24	28.19	39.14
29.00	15.62	36.15
17.49	-15.19	39.87
15.71	-9.39	39.85
-22.84	22.17	39.10
15.69	-9.34	39.84
-18.29	22.21	39.87
20.68	-9.78	39.39
-0.06	-24.83	38.78
20.69	-9.81	39.41
-11.65	-26.98	39.05
4.34	13.30	36.86
-3.32	18.90	35.82
4.36	13.40	37.86
3.59	-22.29	39.26
-14.00	-14.40	38.20
3.56	-23.23	38.26
-8.39	24.59	36.59
5.33	-21.18	37.98
-17.62	21.79	36.05
5.51	-20.26	39.98
16.90	3.31	35.60
-14.06	-14.60	39.21
21.51	2.36	35.69
-11.99	-28.96	36.05
21.56	2.39	37.69
-2.79	22.93	36.60
19.89	-13.79	39.55
-3.81	19.34	36.66
17.45	-15.10	37.87
-11.57	20.69	36.71
7.11	-19.64	39.56
-21.27	17.80	39.06
7.09	-19.69	37.56
-17.71	21.91	39.05
-0.06	-23.86	39.78
-0.01	-23.83	38.78
3.56	-22.26	39.26
-19.81	9.99	38.11
3.51	-22.23	38.26
-19.75	9.88	38.11
5.43	-20.18	37.98
-26.69	10.51	36.45
29.73	16.25	38.03
-26.75	10.56	38.45
29.79	16.36	39.03
-29.41	2.26	39.02
29.39	14.36	39.22
-29.37	2.23	37.02
29.11	15.69	39.15
-17.41	7.49	38.12
28.96	16.91	39.99
-11.95	-28.98	39.05
28.80	16.90	39.92
-9.79	-27.39	39.54
24.59	16.71	39.60
-9.78	-27.34	38.54
24.51	16.65	39.70
23.89	10.79	39.57
-2.16	-24.40	37.39
23.96	10.72	38.57
